Color_Family,Variation,RGB_Hex,RGB_R,RGB_G,RGB_B,LAB_L,LAB_a,LAB_b,Brightness_Change
Red,Base,#FF0000,255,0,0,53.23,80.11,67.22,0
Red,-5%,#F20000,242,0,0,50.63,77.09,64.69,-5
Red,-10%,#E50000,229,0,0,47.98,74.03,62.12,-10
Red,-15%,#D80000,216,0,0,45.3,70.92,59.52,-15
Red,-20%,#CC0000,204,0,0,42.78,68.01,57.08,-20
Red,-25%,#BF0000,191,0,0,40.01,64.81,54.38,-25
Red,+5%,#FF0000,255,0,0,53.23,80.11,67.22,5
Red,+10%,#FF0000,255,0,0,53.23,80.11,67.22,10
Red,+15%,#FF0000,255,0,0,53.23,80.11,67.22,15
Red,+20%,#FF0000,255,0,0,53.23,80.11,67.22,20
Red,+25%,#FF0000,255,0,0,53.23,80.11,67.22,25
Green,Base,#00FF00,0,255,0,87.74,-86.19,83.19,0
Green,-5%,#00F200,0,242,0,83.83,-82.94,80.05,-5
Green,-10%,#00E500,0,229,0,79.87,-79.65,76.88,-10
Green,-15%,#00D800,0,216,0,75.85,-76.31,73.65,-15
Green,-20%,#00CC00,0,204,0,72.08,-73.18,70.63,-20
Green,-25%,#00BF00,0,191,0,67.93,-69.73,67.3,-25
Green,+5%,#00FF00,0,255,0,87.74,-86.19,83.19,5
Green,+10%,#00FF00,0,255,0,87.74,-86.19,83.19,10
Green,+15%,#00FF00,0,255,0,87.74,-86.19,83.19,15
Green,+20%,#00FF00,0,255,0,87.74,-86.19,83.19,20
Green,+25%,#00FF00,0,255,0,87.74,-86.19,83.19,25
Blue,Base,#0000FF,0,0,255,32.3,79.19,-107.85,0
Blue,-5%,#0000F2,0,0,242,30.48,76.21,-103.79,-5
Blue,-10%,#0000E5,0,0,229,28.64,73.19,-99.67,-10
Blue,-15%,#0000D8,0,0,216,26.77,70.12,-95.49,-15
Blue,-20%,#0000CC,0,0,204,25.01,67.24,-91.57,-20
Blue,-25%,#0000BF,0,0,191,23.08,64.07,-87.26,-25
Blue,+5%,#0000FF,0,0,255,32.3,79.19,-107.85,5
Blue,+10%,#0000FF,0,0,255,32.3,79.19,-107.85,10
Blue,+15%,#0000FF,0,0,255,32.3,79.19,-107.85,15
Blue,+20%,#0000FF,0,0,255,32.3,79.19,-107.85,20
Blue,+25%,#0000FF,0,0,255,32.3,79.19,-107.85,25
Cyan,Base,#00FFFF,0,255,255,91.12,-48.08,-14.13,0
Cyan,-5%,#00F2F2,0,242,242,87.08,-46.27,-13.6,-5
Cyan,-10%,#00E5E5,0,229,229,82.99,-44.44,-13.06,-10
Cyan,-15%,#00D8D8,0,216,216,78.84,-42.57,-12.51,-15
Cyan,-20%,#00CCCC,0,204,204,74.95,-40.83,-12.0,-20
Cyan,-25%,#00BFBF,0,191,191,70.66,-38.9,-11.43,-25
Cyan,+5%,#00FFFF,0,255,255,91.12,-48.08,-14.13,5
Cyan,+10%,#00FFFF,0,255,255,91.12,-48.08,-14.13,10
Cyan,+15%,#00FFFF,0,255,255,91.12,-48.08,-14.13,15
Cyan,+20%,#00FFFF,0,255,255,91.12,-48.08,-14.13,20
Cyan,+25%,#00FFFF,0,255,255,91.12,-48.08,-14.13,25
Magenta,Base,#FF00FF,255,0,255,60.32,98.25,-60.83,0
Magenta,-5%,#F200F2,242,0,242,57.45,94.55,-58.54,-5
Magenta,-10%,#E500E5,229,0,229,54.53,90.8,-56.22,-10
Magenta,-15%,#D800D8,216,0,216,51.57,86.99,-53.86,-15
Magenta,-20%,#CC00CC,204,0,204,48.8,83.42,-51.65,-20
Magenta,-25%,#BF00BF,191,0,191,45.74,79.49,-49.22,-25
Magenta,+5%,#FF00FF,255,0,255,60.32,98.25,-60.83,5
Magenta,+10%,#FF00FF,255,0,255,60.32,98.25,-60.83,10
Magenta,+15%,#FF00FF,255,0,255,60.32,98.25,-60.83,15
Magenta,+20%,#FF00FF,255,0,255,60.32,98.25,-60.83,20
Magenta,+25%,#FF00FF,255,0,255,60.32,98.25,-60.83,25
Yellow,Base,#FFFF00,255,255,0,97.14,-21.56,94.49,0
Yellow,-5%,#F2F200,242,242,0,92.88,-20.75,90.93,-5
Yellow,-10%,#E5E500,229,229,0,88.56,-19.93,87.32,-10
Yellow,-15%,#D8D800,216,216,0,84.17,-19.09,83.66,-15
Yellow,-20%,#CCCC00,204,204,0,80.06,-18.31,80.22,-20
Yellow,-25%,#BFBF00,191,191,0,75.53,-17.44,76.44,-25
Yellow,+5%,#FFFF00,255,255,0,97.14,-21.56,94.49,5
Yellow,+10%,#FFFF00,255,255,0,97.14,-21.56,94.49,10
Yellow,+15%,#FFFF00,255,255,0,97.14,-21.56,94.49,15
Yellow,+20%,#FFFF00,255,255,0,97.14,-21.56,94.49,20
Yellow,+25%,#FFFF00,255,255,0,97.14,-21.56,94.49,25
